var_name,count_all,count_missing,period_end_dt,Perc_missing
carrying_value,198660,11,201603,2.22
ADJ_DAYS_PAST_DUE_MTH_END_NO,198660,11,201603,2.22
UNDRAWN_AMT,198660,11,201603,2.22
UTILIZATION_AT_OBS,198660,11,201603,2.22
b_pymt_over_bal,198660,11,201603,2.22
COMB_UPDTD_FICOV8_1,198660,11,201603,2.22
LAST_STMNT_SALES_AMT,198660,11,201603,2.22
OMRHPRN2,198660,11,201603,2.22
PSBAL,198660,11,201603,2.22
ACCRUED_INTEREST_AMT,198660,11,201603,2.22
DIF_LAST_DUE_VS_PYMT,198660,11,201603,2.22
PSSALE,198660,11,201603,2.22
LAST_PYMT_AMT,198660,11,201603,2.22
ORIGINAL_FICO_PRI,198660,11,201603,2.22
b_chg_bal_3,198660,11,201603,2.22
b_chg_bal_2,198660,11,201603,2.22
months_since_last_pmt,198660,11,201603,2.22
BPSBAL01,198660,11,201603,2.22
LAST_STMT_PERC_LAST_6M,198660,11,201603,2.22
