PERIOD_END_DT,asset_sub_class,segment,num_accounts,num_defaults,LRA_PD_1,PIT_PD_1,Actual_default_rate
31-Jan-15,Business Card,Business 1,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business 2,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business 3,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business 4,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business 5,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business 5B,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business Bankrupt,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business CLowBal,20,44,23,1.44,0.02
31-Jan-15,Business Card,Business Options,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 1,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 10,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 2,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 3,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 4,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 5,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 5B1,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 5B2,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 6,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer 9,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer Bankrupt,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer CLowBal,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer Default,20,44,23,1.44,0.02
31-Jan-15,Consumer Card,Consumer above $100K,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 1,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 2,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 3,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 4,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 5,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business 5B,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business Bankrupt,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business CLowBal,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business Default,20,44,23,1.44,0.02
28-Feb-15,Business Card,Business Options,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 1,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 10,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 2,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 3,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 4,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 5,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 5B1,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 5B2,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 6,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer 9,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer Bankrupt,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer CLowBal,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer Default,20,44,23,1.44,0.02
28-Feb-15,Consumer Card,Consumer above $100K,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 1,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 2,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 3,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 4,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 5,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business 5B,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business Bankrupt,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business CLowBal,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business Default,20,44,23,1.44,0.02
31-Mar-15,Business Card,Business Options,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 1,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 10,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 2,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 3,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 4,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 5,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 5B1,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 5B2,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 6,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer 9,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer Bankrupt,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer CLowBal,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer Default,20,44,23,1.44,0.02
31-Mar-15,Consumer Card,Consumer above $100K,20,44,23,1.44,0.02
